握,ÁC
帝,ĐẾ
締,ĐẾ
摘,TRÍCH
滴,TRÍCH
添,THIÊM
抵,ĐỀ
堤,ĐE
哲,TRIẾT
殿,ĐIỆN
吐,THỔ
途,ĐỒ
塗,ĐỒ
渡,ĐỘ
斗,ĐẤU/ĐẨU
透,THẤU
唐,ĐƯỜNG
桃,ĐÀO
逃,ĐÀO
倒,ĐẢO
到,ĐÁO
塔,THÁP
踏,ĐẠP
盗,ĐẠO
痘,ĐẬU
闘,ĐẤU/ĐẨU
突,ĐẠO
豚,ĐÀO
稲,ĐÔNG
陶,ĐỘT
凍,ĐỒN
匿,NẶC
篤,ĐÓC
奴,NÔ
怒,NỘ
胴,ĐỖNG
峠,ĐÈO
鈍,CÙNG
曇,ĐÀM
弐,NHỊ
尿,NIỆU
粘,NIÊM
悩,NÃO
濃,NỒNG
輩,BỐI
杯,BÔI
泊,BẠC
拍,PHÁCH
迫,BÁCH
薄,BẠC
髪,PHÁT
販,PHIẾN
搬,BAN
般,BAN
範,PHẠM
繁,PHỒN
帆,PHÀM
伴,BẠN
畔,BẠN
藩,PHIÊN
排,BÀI
陪,BỒI
婆,BÀ
蛮,MAN
盤,BÀN
抜,BẠT
罰,PHẠT
伐,PHẠT
爆,BỘC
縛,PHƯỢC
被,BỊ
疲,BÌ
彼,BỈ
避,TỴ
卑,TI
碑,BI
微,VI
匹,THẤT
泌,BÍ
漂,PHIÊU
描,MIÊU
苗,MIÊU
尾,VĨ
浜,TÂN
敏,MẪN
怖,BỐ
符,PHÙ
腐,HỦ
敷,PHU
膚,PHU
浮,PHÙ
赴,PHÓ
普,PHỔ
賦,PHÚ
幅,PHÚC
伏,PHỤC
覆,PHÚC
払,PHẤT
紛,PHÂN
舖,PHÚN
墳,PHẦN
舞,VŨ
捕,BỔ
舗,PHỐ
抱,BÃO
胞,BÀO
砲,PHÁO
飽,BÃO
峰,PHONG
芳,PHƯƠNG
倣,PHỎNG
崩,BĂNG
縫,PHÙNG
邦,BANG
翻,PHIÊN
凡,PHÀM
盆,BỒN
没,MỘT
墨,MẶC
募,MỘ
慕,MỘ
簿,BỘ
房,PHÒNG
肪,PHƯƠNG
坊,PHƯỜNG
傍,BÀNG
冒,MẠO
帽,MẠO
忙,MANG
妨,PHƯƠNG
謀,MƯU
某,MỖ
膨,BÀNH
乏,PHẠP
漫,MẠN
慢,MẠN
魔,MA
埋,MAI
妙,DIỆU
眠,MIÊN
魅,MỊ
矛,MÂU
霧,VỤ
滅,DIỆT
免,MIỄ
茂,MẬU
膜,MÔ
網,VÕNG
猛,MÃNH
黙,MẶC
紋,VĂN
躍,DƯỢC
雄,HÙNG
与,DỰ
誉,DỰ
腰,YÊU
溶,DUNG
踊,DŨNG
謡,DAO
揺,DAO
擁,ỦNG
揚,DƯƠNG
抑,ỨC
瀬,LẠI
頼,LẠI
濫,LẠM
雷,LÔI
絡,LẠC
欄,LAN
離,LI
吏,LẠI
慮,LỰ
隣,LÂN
粒,LI
隆,LẠP
了,LONG
厘,LIỄU
猟,LIỆP
霊,LIỆU
療,LĂNG
零,LỆ
陵,LINH
涙,LINH
励,LỆ
廉,LIÊM
錬,LUYỆN
裂,LIỆT
滝,LANG
廊,LANG
郎,LANG
浪,LÃNG
漏,LẬU
楼,LÂU
露,LỘ
炉,LÔ
惑,HOẶC
腕,OẢN
湾,LOAN
掛,QUẢI
込,NHẬP
